Model	merge	GSE53622	GSE53624	TCGA	All
RSF	0.733646175504458	0.897671136203246	0.675058744545149	0.709741550695825	0.75402940173717
RSF + CoxBoost	0.662881276396058	0.697247706422018	0.649714669352132	0.680914512922465	0.672689541273168
RSF + Enet[α=0.1]	0.674190520882215	0.709950599858857	0.662806310842565	0.687872763419483	0.68370504875078
RSF + Enet[α=0.2]	0.671750351947442	0.704304869442484	0.657603222557905	0.681908548707753	0.678891748163896
RSF + Enet[α=0.3]	0.667198498357579	0.702893436838391	0.651057401812689	0.678926441351889	0.675018944590137
RSF + Enet[α=0.4]	0.662881276396058	0.695130557515879	0.648707620006714	0.672962226640159	0.669920420139702
RSF + Enet[α=0.5]	0.662787423744721	0.696541990119972	0.649882510909701	0.672962226640159	0.670543537853638
RSF + Enet[α=0.6]	0.662787423744721	0.696541990119972	0.650218194024841	0.674950298210736	0.671124476525067
RSF + Enet[α=0.7]	0.661708118254341	0.697247706422018	0.649378986236992	0.672962226640159	0.670324259388378
RSF + Enet[α=0.8]	0.661426560300328	0.697953422724065	0.648539778449144	0.666003976143141	0.66848093440417
RSF + Enet[α=0.9]	0.660769591740967	0.698659139026112	0.648371936891574	0.666998011928429	0.668699669896771
RSF + GBM	0.668559361801971	0.76076217360621	0.619167505874455	0.695825049701789	0.686078522746106
RSF + Lasso	0.5	0.5	0.5	0.5	0.5
RSF + plsRcox	0.672125762552792	0.70924488355681	0.670191339375629	0.664015904572565	0.678894472514449
RSF + Ridge	0.5	0.5	0.5	0.5	0.5
RSF + StepCox[both]	0.636508681370249	0.664784756527876	0.62604900973481	0.642147117296223	0.642372391232289
RSF + StepCox[backward]	0.636508681370249	0.664784756527876	0.62604900973481	0.642147117296223	0.642372391232289
RSF + StepCox[forward]	0.672360394181136	0.708539167254764	0.670359180933199	0.664015904572565	0.678818661735416
RSF + SuperPC	0.65523228531206	0.695836273817925	0.632259147364888	0.685884691848907	0.667303099585945
RSF + survival-SVM	0.674331299859221	0.71347918136909	0.659281638133602	0.679920477137177	0.681753149124772
Enet[α=0.1]	0.68700140778977	0.722653493295695	0.675562269217858	0.70675944333996	0.697994153410821
Enet[α=0.2]	0.67254809948381	0.720536344389555	0.653575025176234	0.690854870775348	0.684378584956237
Enet[α=0.3]	0.660910370717973	0.712773465067043	0.636287344746559	0.68986083499006	0.674958003880409
Enet[α=0.4]	0.656593148756452	0.70712773465067	0.632426988922457	0.684890656063618	0.6702596320983
Enet[α=0.5]	0.653683716564993	0.705716302046577	0.63091641490433	0.68389662027833	0.668553263448558
Enet[α=0.6]	0.65415297982168	0.705716302046577	0.632762672037597	0.685884691848907	0.66962916143869
Enet[α=0.7]	0.653402158610981	0.701482004234298	0.632426988922457	0.68389662027833	0.667801943011516
