TCGAlong.id	mDNAsi
TCGA-05-4384-01A-01D-1756-05	0.237781376
TCGA-05-4390-01A-02D-1756-05	0.198871914
TCGA-05-4396-01A-21D-1856-05	0.207284976
TCGA-05-4405-01A-21D-1856-05	0.179338286
TCGA-05-4410-01A-21D-1856-05	0.214423263
TCGA-05-4415-01A-22D-1856-05	0.165738595
TCGA-05-4417-01A-22D-1856-05	0.204318676
TCGA-05-4424-01A-22D-1856-05	0.225752219
TCGA-05-4425-01A-01D-1756-05	0.156241742
TCGA-05-4427-01A-21D-1856-05	0.267210107
TCGA-05-4433-01A-22D-1856-05	0.243119655
TCGA-05-5423-01A-01D-1626-05	0.209011291
TCGA-05-5425-01A-02D-1626-05	0.214554473
TCGA-05-5428-01A-01D-1626-05	0.22757319
TCGA-05-5429-01A-01D-1626-05	0.210755269
TCGA-05-5715-01A-01D-1626-05	0.156967909
TCGA-06-0125-01A-01D-A45W-05	0.259928935
TCGA-06-0125-02A-11D-2004-05	0.174709467
TCGA-06-0152-01A-02D-A45W-05	0.258233104
TCGA-06-0152-02A-01D-2004-05	0.212175461
TCGA-06-0171-01A-02D-A45W-05	0.245167471
TCGA-06-0171-02A-11D-2004-05	0.134645436
TCGA-06-0190-01A-01D-A45W-05	0.198018092
TCGA-06-0190-02A-01D-2004-05	0.152530015
TCGA-06-0210-01A-01D-A45W-05	0.276882539
TCGA-06-0210-02A-01D-2004-05	0.275381521
TCGA-06-0211-01A-01D-A45W-05	0.219135529
TCGA-06-0211-02A-02D-2004-05	0.2064333
TCGA-06-0221-01A-01D-A45W-05	0.181293004
TCGA-06-0221-02A-11D-2004-05	0.259954905
TCGA-06-0650-01A-02D-1697-05	0.196338654
TCGA-06-1804-01A-01D-1697-05	0.260444073
TCGA-06-1806-01A-02D-1844-05	0.143482598
TCGA-06-5408-01A-01D-1697-05	0.255750502
TCGA-06-5410-01A-01D-1697-05	0.124403364
TCGA-06-5411-01A-01D-1697-05	0.287324692
TCGA-06-5412-01A-01D-1697-05	0.142061452
TCGA-06-5413-01A-01D-1697-05	0.192892073
TCGA-06-5414-01A-01D-1481-05	0.20470067
TCGA-06-5415-01A-01D-1481-05	0.202306939
TCGA-06-5416-01A-01D-1481-05	0.640446514
TCGA-06-5417-01A-01D-1481-05	0.245248346
TCGA-06-5418-01A-01D-1481-05	0.210519455
TCGA-06-5856-01A-01D-1697-05	0.250550339
TCGA-06-5858-01A-01D-1697-05	0.271342048
TCGA-06-5859-01A-01D-1697-05	0.243753708
TCGA-06-6388-01A-12D-1844-05	0.268663609
TCGA-06-6389-01A-11D-1697-05	0.138137563
TCGA-06-6390-01A-11D-1697-05	0.210810454
TCGA-06-6693-01A-11D-1844-05	0.270408181
TCGA-06-6694-01A-12D-1844-05	0.258502918
TCGA-06-6695-01A-11D-1844-05	0.222005393
TCGA-06-6697-01A-11D-1844-05	0.174750568
TCGA-06-6698-01A-11D-1844-05	0.188193898
TCGA-06-6699-01A-11D-1844-05	0.292799309
TCGA-06-6700-01A-12D-1844-05	0.198356786
TCGA-06-6701-01A-11D-1844-05	0.078247757
TCGA-06-A5U0-01A-11D-A33U-05	0.26206135
TCGA-06-A5U1-01A-11D-A33U-05	0.230835582
TCGA-06-A6S0-01A-11D-A33U-05	0.265698098
TCGA-06-A6S1-01A-11D-A33U-05	0.259083459
TCGA-06-A7TK-01A-21D-A392-05	0.215179738
TCGA-06-A7TL-01A-11D-A392-05	0.124726309
