TCGAlong.id	mRNAsi
TCGA-02-0047-01A-01R-1849-01	0.239842634
TCGA-02-0055-01A-01R-1849-01	0.187830427
TCGA-02-2483-01A-01R-1849-01	0.408749038
TCGA-02-2485-01A-01R-1849-01	0.349145104
TCGA-02-2486-01A-01R-1849-01	0.249841058
TCGA-04-1348-01A-01R-1565-13	0.574147361
TCGA-04-1357-01A-01R-1565-13	0.381039173
TCGA-04-1362-01A-01R-1565-13	0.402316243
TCGA-04-1364-01A-01R-1565-13	0.555929446
TCGA-04-1365-01A-01R-1565-13	0.512914064
TCGA-04-1514-01A-01R-1566-13	0.418371135
TCGA-04-1519-01A-01R-1565-13	0.447336009
TCGA-05-4244-01A-01R-1107-07	0.363073476
TCGA-05-4249-01A-01R-1107-07	0.319604809
TCGA-05-4250-01A-01R-1107-07	0.372354501
TCGA-05-4382-01A-01R-1206-07	0.239002038
TCGA-05-4384-01A-01R-1755-07	0.263331448
TCGA-05-4389-01A-01R-1206-07	0.419321705
TCGA-05-4390-01A-02R-1755-07	0.371113431
TCGA-05-4395-01A-01R-1206-07	0.409756826
TCGA-05-4396-01A-21R-1858-07	0.285216086
TCGA-05-4397-01A-01R-1206-07	0.472307261
TCGA-05-4398-01A-01R-1206-07	0.341076518
TCGA-05-4402-01A-01R-1206-07	0.273359846
TCGA-05-4403-01A-01R-1206-07	0.263949291
TCGA-05-4405-01A-21R-1858-07	0.249852995
TCGA-05-4410-01A-21R-1858-07	0.350572064
TCGA-05-4415-01A-22R-1858-07	0.513829894
TCGA-05-4417-01A-22R-1858-07	0.242897806
TCGA-05-4418-01A-01R-1206-07	0.37676497
TCGA-05-4420-01A-01R-1206-07	0.395780451
TCGA-05-4422-01A-01R-1206-07	0.378742513
TCGA-05-4424-01A-22R-1858-07	0.373760665
TCGA-05-4425-01A-01R-1755-07	0.311359977
TCGA-05-4426-01A-01R-1206-07	0.290718122
TCGA-05-4427-01A-21R-1858-07	0.348211855
TCGA-05-4430-01A-02R-1206-07	0.237131244
TCGA-05-4432-01A-01R-1206-07	0.354356746
TCGA-05-4433-01A-22R-1858-07	0.334354829
TCGA-05-4434-01A-01R-1206-07	0.324554861
TCGA-05-5423-01A-01R-1628-07	0.338701304
TCGA-05-5425-01A-02R-1628-07	0.381063514
TCGA-05-5428-01A-01R-1628-07	0.470824907
TCGA-05-5429-01A-01R-1628-07	0.354147303
TCGA-05-5715-01A-01R-1628-07	0.320465452
TCGA-06-0125-01A-01R-1849-01	0.290711971
TCGA-06-0125-02A-11R-2005-01	0.214938273
TCGA-06-0129-01A-01R-1849-01	0.420249703
TCGA-06-0130-01A-01R-1849-01	0.229151245
TCGA-06-0132-01A-02R-1849-01	0.272067977
TCGA-06-0138-01A-02R-1849-01	0.251920466
TCGA-06-0141-01A-01R-1849-01	0.234049623
TCGA-06-0152-02A-01R-2005-01	0.299277618
TCGA-06-0156-01A-02R-1849-01	0.251860545
TCGA-06-0156-01A-03R-1849-01	0.281116066
TCGA-06-0157-01A-01R-1849-01	0.310930323
TCGA-06-0158-01A-01R-1849-01	0.243398249
TCGA-06-0168-01A-01R-1849-01	0.310620707
TCGA-06-0171-02A-11R-2005-01	0.180338736
TCGA-06-0174-01A-01R-1849-01	0.353418769
TCGA-06-0178-01A-01R-1849-01	0.393702107
TCGA-06-0184-01A-01R-1849-01	0.261612562
TCGA-06-0187-01A-01R-1849-01	0.298757717
TCGA-06-0190-01A-01R-1849-01	0.177315367
TCGA-06-0190-02A-01R-2005-01	0.151889743
TCGA-06-0210-01A-01R-1849-01	0.205320514
TCGA-06-0210-02A-01R-2005-01	0.241575834
TCGA-06-0211-01A-01R-1849-01	0.273362432
TCGA-06-0211-01B-01R-1849-01	0.356912496
TCGA-06-0211-02A-02R-2005-01	0.242382392
TCGA-06-0219-01A-01R-1849-01	0.36807113
TCGA-06-0221-02A-11R-2005-01	0.41713918
TCGA-06-0238-01A-02R-1849-01	0.37114859
TCGA-06-0644-01A-02R-1849-01	0.230865095
TCGA-06-0645-01A-01R-1849-01	0.223212713
TCGA-06-0646-01A-01R-1849-01	0.282279835
TCGA-06-0649-01B-01R-1849-01	0.200798476
TCGA-06-0675-11A-32R-A36H-07	0.401431386
TCGA-06-0678-11A-32R-A36H-07	0.362408658
TCGA-06-0680-11A-32R-A36H-07	0.401085549
TCGA-06-0681-11A-41R-A36H-07	0.37966872
TCGA-06-0686-01A-01R-1849-01	0.335176531
TCGA-06-0743-01A-01R-1849-01	0.249292325
TCGA-06-0744-01A-01R-1849-01	0.31446378
TCGA-06-0745-01A-01R-1849-01	0.283639961
TCGA-06-0747-01A-01R-1849-01	0.264924883
TCGA-06-0749-01A-01R-1849-01	0.298258337
TCGA-06-0750-01A-01R-1849-01	0.204947187
TCGA-06-0878-01A-01R-1849-01	0.234663493
TCGA-06-0882-01A-01R-1849-01	0.229519469
TCGA-06-1804-01A-01R-1849-01	0.278959103
TCGA-06-2557-01A-01R-1849-01	0.311572989
TCGA-06-2558-01A-01R-1849-01	0.32807545
TCGA-06-2559-01A-01R-1849-01	0.315554062
